Column Name,#,Demo Values,LLM Description,Informative Value,Data Type
Withdrawal Qty (ENMNG),1,"'0.0', '4.0', '1.0'",The quantity of materials taken from inventory for use in production  could be measured in units or volume.,direct,"Amounts, Values & Units"
Actual start (GSTRI),1," '2021-02-08','2021-02-07', '2021-03-24'",logs the real-time date when an order or operation begins,direct,Dates & Timestamps
Baseline Date (ZFBDT),1," '2021-04-12','2021-04-16', '2017-03-23'","Reference date used for payment terms calculation, which could be the document or posting date.",direct,Dates & Timestamps
Basic Fin. Date (GLTRP),1," '2021-02-19', '2021-02-25','2021-05-28'",marks the expected completion date for an order or operation,direct,Dates & Timestamps
Clear. Date (FI-AP) (AUGDT_FIAP),1,"'2021-06-18','2021-06-18','2021-06-18'","Date on which an invoice was cleared in Financial Accounting - Accounts Payable,  often in YYYYMMDD format",direct,Dates & Timestamps
Clear. Date (FI-AR) (AUGDT_FIAR),1,"'2021-06-20','2021-06-20','2021-06-20'","The date on which an account receivable was cleared (balances settled), formatted as a date.",direct,Dates & Timestamps
Clearing Date (AUGDT),1," '2020-11-27','2018-12-18', '2021-03-27'","Actual Clearing Date, representing when a particular item or transaction was cleared",direct,Dates & Timestamps
Clearing Entry Date (CPUDT_AUGBL),1," '2019-09-26','2017-04-05', '2018-12-18'",Date when the clearing document was entered into the system,direct,Dates & Timestamps
Clrg Fiscal Yr (AUGGJ),1," '2020','2017', '2018'","Fiscal Year in which the clearing took place, usually in a four-digit year format",direct,Dates & Timestamps
Conf. Finish Date (GETRI),1,EMPTY,indicates the actual confirmed date when an order or operation was completed,direct,Dates & Timestamps
Created (FI-AP) (CPUDT_FIAP),1," '2021-06-12','2021-06-29','2021-06-29'","Date of document creation in the financial accounting accounts payable module, often formatted as YYYYMMDD.",direct,Dates & Timestamps
Created (FI-AR) (CPUDT_FIAR),1," '2021-06-10','2021-06-30','2021-06-30'","Date the transaction was created in FI-AR, typically in YYYYMMDD format",direct,Dates & Timestamps
Created At (ANUZT),1,EMPTY,"This time field, often in HH:MM:SS format, captures the exact time when a record was created.",direct,Dates & Timestamps
Created On (ANDAT),1,EMPTY,"The date, typically in MM/DD/YYYY format, when the record was created or the transaction was made.",direct,Dates & Timestamps
Created on (H) (ERDAT_H),1," '2020-06-15','2021-03-11', '2020-03-09'","Date when the purchasing document was created,  typically formatted YYYY-MM-DD.",direct,Dates & Timestamps
Created on (I) (ERDAT_I),1," '2020-02-22','2019-03-25', '2019-04-03'","Date when the sales order was created,  typically formatted YYYY-MM-DD.",direct,Dates & Timestamps
Days 1 (ZBD1T),1,"'30','30','30'",The number of days within which the first level of cash discount can be availed by the customer.,direct,Dates & Timestamps
Days 2 (ZBD2T),1,"'60','60','60'",The number of days within which the second level of the cash discount can be availed by the customer.,direct,Dates & Timestamps
Days Net (ZBD3T),1,"'90','90','90'","The total number of days after the invoice date when the net amount is due, can be a number like 30 or 60 days.",direct,Dates & Timestamps
Del. entered on (CPUDT_DEL),1," '2021-06-29', '2021-09-03','2021-06-30'","The date on which the delivery was entered into the system,  potential values could be dates in format YYYY-MM-DD.",direct,Dates & Timestamps
Delivery created on (CPUTM_DEL),1,"'192503.0','192503.0','192503.0'","The timestamp for when the delivery was created in the system, which can be used to track delivery efficiency",direct,Dates & Timestamps
Delivery created on (ERDAT_DEL),1," '2021-01-19', '2020-02-13','2020-02-25'","The date when the delivery was created, generally in the format YYYYMMDD.",direct,Dates & Timestamps
Delivery Date (EDATU),1," '2019-02-26','2018-11-05', '2020-10-30'","The scheduled delivery date for the products, usually in the format YYYYMMDD.",direct,Dates & Timestamps
Delivery Date (EINDT),1," '2021-05-31','2021-07-22', '2021-07-08'","The actual date when delivery occurred, formatted as a date field (YYYY-MM-DD for example).",direct,Dates & Timestamps
Delivery Date (LFDAT),1," '2022-07-25', '2022-07-12','2022-07-01'","The delivery date is the confirmed or planned date when goods are to be delivered, often in the format YYYYMMDD.",direct,Dates & Timestamps
Delivery Date (LTRMI),1,"'2021-04-29', '2021-02-08', '2021-02-07'",records the actual date goods or services were delivered to a customer,direct,Dates & Timestamps
Due On (NETDT),1," '2019-11-21','2017-03-23', '2021-03-26'","The expected date a payment is due or the date a task is expected to be completed, typically in the format YYYY-MM-DD.",direct,Dates & Timestamps
EaliestPOdeldate (EINDT_OPEN_PURCH_ORD),1,EMPTY,"The earliest delivery date for a purchase order, impacting inventory levels and associated costs",direct,Dates & Timestamps
Earl.start date (FSAVD),1,EMPTY,"The earliest start date, usually in MM/DD/YYYY format, indicates when an operation can begin at the soonest.",direct,Dates & Timestamps
Earliest PO del.date (EINDT_OPEN_PURCH_ORD),1," '2025-03-18', '2023-03-15','2023-03-13'","The earliest date that a purchase order can be delivered, expressed in a date format.",direct,Dates & Timestamps
FI Year (FI-AP) (GJAHR_FIAP),1,"'2021','2021','2021'","Fiscal year for Accounts Payable transactions, formatted as a four-digit year (e.g., 2023)",direct,Dates & Timestamps
FI Year (FI-AR) (GJAHR_FIAR),1,"'2021','2021','2021'","Fiscal year for Accounts Receivable transactions, formatted as a four-digit year (e.g., 2023)",direct,Dates & Timestamps
Fiscal Year (GJAHR),1,"'2019', '2017', '2018'","The financial year for which the transaction is recorded, typically a four-digit year.",direct,Dates & Timestamps
GI entered at (CPUTM_GI),1,EMPTY,"The exact time goods issue (GI) was recorded in the system, typically in HH:MM:SS format",direct,Dates & Timestamps
GI entered on (CPUDT_GI),1,"'2021-07-09', '2021-06-30', '2021-07-13'","The date on which the goods issue was recorded, usually formatted as YYYYMMDD",direct,Dates & Timestamps
GI Year (GJAHR_GI),1,"'2021','2021','2021'","Fiscal Year in which the Goods Issue was recorded, usually a four-digit year format",direct,Dates & Timestamps
GR entered at (CPUTM_GR),1,EMPTY,"The time at which the goods receipt was processed in the system, formatted as HH:MM:SS.",direct,Dates & Timestamps
GR entered on (CPUDT_GR),1," '2021-08-13', '2021-07-09','2021-06-01'",The date on which the goods receipt was entered into the system.,direct,Dates & Timestamps
GR pr.time(Mat.) (WEBAZ_MARC),1,"'0.0','0.0','0.0'","Stores the planned delivery time for materials in days, which reflects the period between ordering and goods receipt.",direct,Dates & Timestamps
GR Year (GJAHR_GR),1,"'2021','2021','2021'","The fiscal year in which the goods receipt was posted, formatted as a four-digit year.",direct,Dates & Timestamps
GR: Fiscal Year (GR_GJAHR),1,"'2021','2021','2021'","The fiscal year for which the goods receipt is posted, typically a four-digit year like '2023'.",direct,Dates & Timestamps
GR: GR/IR Clear.Date (GR_AUGDT_GRIR),1,EMPTY,"The date when a goods receipt (GR) is matched and cleared against an invoice receipt (IR) within the GR/IR process, formatted as YYYYMMDD.",direct,Dates & Timestamps
GR: GR/IR Clear.Year (GR_AUGGJ_GRIR),1,EMPTY,"Year the goods receipt/invoice receipt accounts were cleared, indicates matching of goods/services received with invoice.",direct,Dates & Timestamps
InhseProdTime (DZEIT),1," '0.0','1.0', '0.0'","The internal production time, possibly in hours or days, comprising active manufacturing processes.",direct,Dates & Timestamps
Interoperation (TRANZ),1,"'0.0','0.0','0.0'","Time or duration between operations or processes, possibly affecting lead times and throughput.",direct,Dates & Timestamps
IR Creation Date (IR_CPUDT),1," '2021-02-27','2021-09-12','2021-09-12'","The date when the invoice receipt (IR) was created in the system, usually a date formatted as YYYYMMDD.",direct,Dates & Timestamps
IR Document Date (IR_BLDAT),1," '2021-02-26', '2021-09-12','2021-09-30'","The date the document was posted in the system, which might differ from the actual invoice date, typically in YYYYMMDD format.",direct,Dates & Timestamps
IR Document Date (IR_CPUDT),1," '2021-09-30', '2021-09-22','2021-09-29'","The date the Invoice Receipt was posted in the system, in the format YYYYMMDD.",direct,Dates & Timestamps
IR entered on (CPUDT_IR),1,"'2021-06-01','2021-06-01','2021-06-01'","Date the Invoice Receipt was recorded, typically in YYYYMMDD format",direct,Dates & Timestamps
IR: Clearing Date (IR_AUGDT),1,"'2021-02-28','2021-02-28','2021-02-28'","Date on which an invoice receipt (IR) or payment is matched with its corresponding financial documents, typically formatted as YYYYMMDD.",direct,Dates & Timestamps
IR: Clearing Year (IR_AUGGJ),1,"'2021','2021','2021'","The year when the clearing (matching an invoice receipt with payment and financial entry) happened, usually a four-digit year number.",direct,Dates & Timestamps
IR: Fiscal Year (IR_GJAHR),1,"'2021','2021','2021'","Fiscal year in which the financial transaction was recorded, generally a four-digit year number.",direct,Dates & Timestamps
IR: GR/IR Clear.Date (IR_AUGDT_GRIR),1,"'2021-04-30','2021-04-30','2021-04-30'","Date when the invoice receipt and goods receipt are cleared, often formatted as YYYYMMDD.",direct,Dates & Timestamps
IR: GR/IR Clear.Year (IR_AUGGJ_GRIR),1,"'2021','2021','2021'",The fiscal year in which the invoice receipt and goods receipt are cleared.,direct,Dates & Timestamps
IR: Year (GJAHR_IR),1,"'2021','2021','2021'","The fiscal year in which the invoice receipt was recorded, formatted as a four-digit year.",direct,Dates & Timestamps
Last insuff.stock (LAST_STOCK_ERROR_DATE),1,"'2019-09-23','2019-09-23','2019-09-23'","The most recent date when inventory was insufficient, typically in the format YYYYMMDD.",direct,Dates & Timestamps
Mat. Doc. Year (MJAHR),1,"'2022','2022','2022'","Fiscal year in which the material document was posted,  usually a four-digit year",direct,Dates & Timestamps
Mat.Avail.Date (MBDAT),1,"'2020-03-05', '2020-04-24', '2019-12-05'","Date when the material becomes or became available, expressed in a date format.",direct,Dates & Timestamps
Planned Delivery (LTRMP),1,"'2021-05-26','2021-05-26','2021-05-26'",indicates the date when goods or services are scheduled to be delivered to a customer,direct,Dates & Timestamps
Planned Order (PLNUM),1," '1521290.0','1529619.0', '1521290.0'",is a unique identifier for a planned order in the production or procurement process,direct,Dates & Timestamps
Plnd Deliv (Mat.) (PLIFZ_MARC),1,EMPTY,"Represents the planned delivery time in days, which indicates the time buffer for material replenishment.",direct,Dates & Timestamps
Plnd Dely (PR) (PLIFZ_PR),1,EMPTY,Expected or planned delivery time in days for purchase requisitions.,direct,Dates & Timestamps
Plnd Open. Date (ETRMP),1," '2021-05-22','2021-04-27','2021-04-27'","The planned opening date, often in MM/DD/YYYY format, reflects when a process is scheduled to begin.",direct,Dates & Timestamps
Plnd Start Date (STRMP),1,EMPTY,refers to the scheduled date to begin the execution of an order or operation,direct,Dates & Timestamps
PO Delivery Date (EINDT),1,"'2021-09-05', '2021-10-19', '2021-07-05'","Represents the scheduled delivery date for purchase orders, given in a YYYYMMDD format.",direct,Dates & Timestamps
PR Delivery Date (LFDAT),1,EMPTY,"Likely similar to Delivery Date (LFDAT), it represents when the delivery of goods should arrive based on a purchase requisition.",direct,Dates & Timestamps
Processing time (BEARZ),1,"'0.0','0.0','0.0'",records the duration taken to complete a specific task or operation within the business process,direct,Dates & Timestamps
PurchOrderDate (BEDAT),1,"'2021-06-28', '2021-08-13', '2021-07-13'","The date the purchase order was made, indicating how long the order process takes from start to finish.",direct,Dates & Timestamps
Release date (CMFRE),1,EMPTY,"This is the date when a document, such as a purchase order, is approved or released for further processing.",direct,Dates & Timestamps
Release Date (FRGDT),1,EMPTY,The date when a purchase requisition was released or approved,direct,Dates & Timestamps
Release Date (UDATE_RELEASE),1," '2020-11-04', '2021-03-30','2017-05-14'","The date when the document or transaction was released for further processing or execution,  potential values may include specific dates in the format YYYY-MM-DD.",direct,Dates & Timestamps
Reqmt Date (BDTER),1," '2022-05-13', '2022-05-06','2022-05-12'","Date by which the material is required,  usually in the format YYYYMMDD",direct,Dates & Timestamps
Requisn Date (BADAT),1,EMPTY,"The date the purchase requisition was created or the request was made, often in the format YYYYMMDD.",direct,Dates & Timestamps
Sched. itm del. date (EINDT),1,"'2022-07-12', '2022-06-29', '2022-07-15'","Stores the scheduled item delivery date, typically in a date format (YYYY-MM-DD).",direct,Dates & Timestamps
SD Inv. created at (ERZET_INV),1,EMPTY,The exact timestamp (date and time) when the invoice was created in the Sales and Distribution module.,direct,Dates & Timestamps
SD Inv. created on (ERDAT_INV),1,"'2021-06-10','2021-06-10','2021-06-10'","The date when a sales and distribution (SD) invoice was created, commonly formatted as YYYYMMDD",direct,Dates & Timestamps
Setup time (RUEZT),1,"'0.0','0.0','0.0'",Time required to prepare equipment or operations before production begins  this could indicate minutes or hours.,direct,Dates & Timestamps
Time (UTIME),1,EMPTY,"Contains the timestamp of the business process execution or transaction, usually in the format HH:MM:SS.",direct,Dates & Timestamps
TO creation date (BDATU),1,"'2021-03-22', '2021-01-07', '2021-03-19'","The date when the transfer order is created, usually in date format (YYYY-MM-DD)",direct,Dates & Timestamps
Transit Time (TRAZTD),1,EMPTY,"Expected duration of transit for the delivered goods, often represented in hours or days.",direct,Dates & Timestamps
Year (STJAH),1,"'2021','2021','2021'","Indicates the fiscal year of the transaction in a YYYY format, such as '2023'.",direct,Dates & Timestamps
Autom. PO (AUTOMATION),1,EMPTY,"Indicates whether purchase orders are generated automatically, which can streamline procurement processes and improve operational efficiency",direct,Status & Indicators
Automation (AUTOMATION),1,"'M', 'A','M'","Indicates the level of automation in the process with possible values such as 'Manual', 'Semi-automated', or 'Fully automated'",direct,Status & Indicators
Backflush (RGEKZ),1,EMPTY,"Indicates whether materials are automatically issued (backflushed) to orders, values like 'X' for yes, blank for no.",direct,Status & Indicators
Cancelled GR (CANCEL_GR),1,"'3', '2','3'","A flag that denotes if the goods receipt has been cancelled, similar to 'X' for cancelled or blank for active.",direct,Status & Indicators
Cancelled IR (CANCEL_IR),1,"'1', '2','1'","A flag indicating whether the Invoice Receipt has been cancelled, possible values such as 'X' for cancelled or blank for not cancelled.",direct,Status & Indicators
Debit/Credit (SHKZG),1,"'H','H','H'","Indicates whether the transaction is a debit (increasing assets/expenses) or credit (increasing liabilities/revenue), affecting balance sheets and income statements",direct,Status & Indicators
Destin. Type (COTYP),1," '2.0','1.0', '2.0'","Destination type could represent the kind of entity at the end of a supply chain, like 'Warehouse', 'Customer', or 'Retailer'.",direct,Status & Indicators
Shipping Conditions (VSBED),1,"'1.0','1.0','1.0'","Describes the terms under which goods are to be shipped, which can include temperature control or speed of delivery",indirect,Status & Indicators
Strategy Group (STRGR),1,"'Z4','Z4','Z4'","The Strategy Group typically represents the business strategies related to the production or procurement of materials, such as 'Make to Stock' or 'Make to Order'.",indirect,Status & Indicators
Account Group (KTOKD),1," '0001','DEBI', 'CPD'","The account group determines the role of an account, specifying which fields are mandatory or optional for the customer/vendor master record",indirect,Status & Indicators
Billing Type (FKART_INV),1,EMPTY,"This is the billing type of the invoice which can indicate various types of sales documents like credit or debit memos, and standard invoices, etc.",indirect,Status & Indicators
CO Area (KOKRS),1," '0001', 'US01','C001'","This represents the controlling area in SAP, used for cost accounting purposes, and might contain values like '1000' for a specific company code.",indirect,Status & Indicators
Conf. error GM (AFFW_CHECK),1,EMPTY,Indicator of any discrepancies or errors found during the confirmation of goods movements.,indirect,Status & Indicators
Creation Ind. (ESTKZ),1,"'R','R','R'","Indicator that shows how a record or transaction was created, could be manually or automatically, indicated by a specific code or letter.",indirect,Status & Indicators
Del. Type Rtns (LFRET),1," 'NLIR','NLCC', 'NCC3'","Indicator if the delivery is related to a return process, which can impact reverse logistics,  potential values: 'X' for returns, blank for standard deliveries.",indirect,Status & Indicators
Deleted (XLOEK),1,EMPTY,"Indicator that shows if an entry has been marked for deletion (e.g., 'X' for deleted)",indirect,Status & Indicators
Deliv. Conf.Sts (BESTA),1," 'A','C', 'A'","Delivery confirmation status, indicating the progress of delivery (e.g., 'Not confirmed', 'Partially confirmed', 'Confirmed')",indirect,Status & Indicators
Delivery block (LIFSD),1,EMPTY,"Indicates if there is a block preventing the delivery from being executed, may contain codes signifying various reasons for the hold",indirect,Status & Indicators
Delivery Block (LIFSK),1,"'1.0','1.0','1.0'","Indicates if a delivery block has been set, blocking the delivery from being executed, typically boolean values (YES/NO).",indirect,Status & Indicators
DF client level (LVORM_MARA),1,EMPTY,Flag that can denote if a material is marked for deletion at the client level in SAP.,indirect,Status & Indicators
Document Status (BSTAT),1,"'V', 'W', 'W'","Status of the document, for example 'Posted', 'Deleted', or 'Held'.",indirect,Status & Indicators
Ext. Delivery (LIFEX),1," '80063638.0', '80046191.0','80060293.0'","Records information on whether an external delivery was made, typically having a binary value (TRUE or FALSE).",indirect,Status & Indicators
Final Invoice (EREKZ),1,EMPTY,"Indicator of a final invoice, where 'X' signifies a final invoice and is blank for provisional or interim invoices.",indirect,Status & Indicators
Final Issue (KZEAR),1,EMPTY,"Indicator to specify that an issue is final (e.g., 'X' for final issue)",indirect,Status & Indicators
Fixed (ZBFIX),1,EMPTY,"Indicator if a line item is flagged as fixed, meaning it should not change",indirect,Status & Indicators
GI Movement Type (BWART_GI),1,EMPTY,"Type of goods movement (e.g., 101 for goods receipt, 601 for goods issue)",indirect,Status & Indicators
GR Movement Type (BWART_GR),1,EMPTY,"The type of goods movement (e.g., goods receipt, goods issue), typically numerical codes.",indirect,Status & Indicators
GR Non-Valuated (WEUNB),1,EMPTY,"A flag indicating whether the goods receipt is posted to non-valuated stock, with 'X' for non-valuated and '' or ' ' for valuated.",indirect,Status & Indicators
GR-Based IV (WEBRE),1,EMPTY,"A flag that indicates if goods receipt is based on invoice verification - 'X' for true, '' (blank) or ' ' (space) for false.",indirect,Status & Indicators
GR/IR Clearing ok (CLEARED),1,EMPTY,Boolean indicator showing if the goods receipt and invoice receipt clearing is complete.,indirect,Status & Indicators
Group (PLNNR),1,"'1.0','1.0','1.0'",Group represents the key that identifies the task list group that contains different task lists or routings,indirect,Status & Indicators
Group Counter (PLNAL),1,EMPTY,"Group Counter is a numerical identifier for a routings group counter within a task list, possibly distinguishing between different versions or alternatives",indirect,Status & Indicators
IR before GR (IR_BEFORE_GR),1,EMPTY,"Indicates if an invoice receipt (IR) was posted before a goods receipt (GR), typically a boolean value (TRUE or FALSE).",indirect,Status & Indicators
Missing Part (XFEHL),1,EMPTY,"Indicator that shows if a part is missing (e.g., 'X' for missing)",indirect,Status & Indicators
Missing parts (FTIND_CHECK),1,EMPTY,"Missing Parts indicates whether there are shortages in the required materials for a process, potentially a boolean value (Yes/No).",indirect,Status & Indicators
MRP Area (BERID),1," 'EW01', 'P001','ZMRP1'","Indicates the Material Requirements Planning area, a logistical area for which material requirements are planned separately",indirect,Status & Indicators
Multiple lines (MULTIPLE_GR_IR),1,EMPTY,"Indicator of whether a document has multiple line items for goods received or invoice received, could be a boolean value.",indirect,Status & Indicators
Not Relevant (DNREL),1,EMPTY,Indicator column that may flag certain entities as not relevant for specific processes or evaluations.,indirect,Status & Indicators
Order block (AUFSD),1,EMPTY,"Indicates if there is a block on the sales order, possible values might include 'Blocked' or 'Not blocked'",indirect,Status & Indicators
Overall Status (GBSTA),1," 'A','C', 'A'","Indicates the overall status of a document, such as 'Completed', 'In Process', or 'Cancelled'.",indirect,Status & Indicators
Ovrl Deliv. Sts (LFGSA),1," 'A','C', 'B'","This field indicates the overall delivery status for an order, showing if it has been fully delivered, partially delivered, etc.",indirect,Status & Indicators
OvrlDelivBlkSts (LSSTA),1,"'C', 'B', 'B'","Overall delivery block status that indicates whether a delivery is blocked, possible values might be 'Blocked' or 'Unblocked'",indirect,Status & Indicators
Partial GR (PARTIAL_GR),1,EMPTY,"Indicates whether the goods receipt is complete or only a partial delivery has been received, with values such as 'Yes' for partial or 'No' for complete.",indirect,Status & Indicators
Partial IR (PARTIAL_IR),1,EMPTY,"Indicates if the Invoice Receipt is partial, which can be 'X' for partial or blank for complete.",indirect,Status & Indicators
Payt Terms (ZTERM),1,"'1', '2','1'","The terms agreed upon for payment between the company and the customer or vendor, which can include specific days for payment or discount terms.",indirect,Status & Indicators
POD status (PDSTA),1," 'A','C','C'","Proof of delivery status shows whether the recipient has acknowledged the receipt of goods, which impacts service level and supply chain performance",indirect,Status & Indicators
Posting Status (RFBSK_INV),1,EMPTY,"Status of the financial document posting in the system, which can include statuses like 'Unposted', 'Posted', 'Partially Posted', etc.",indirect,Status & Indicators
PR item exists (PR_EXISTS),1,EMPTY,"Shows whether a purchase requisition (PR) item exists as a prerequisite for the subsequent process, usually binary (YES/NO or 1/0).",indirect,Status & Indicators
Prev. blocked (PREV_BLOCKED),1,"'R', 'B', 'B'","Boolean indicator showing if a transaction was previously blocked for payment, where typical values might be 'YES' or 'NO'.",indirect,Status & Indicators
Prev. parked (PREV_PARKED),1,EMPTY,"Shows whether the transaction was previously parked (temporary saved), potential values are 'X' for true and '' (blank) for false.",indirect,Status & Indicators
Proc.state (BANPR),1,EMPTY,"This column likely holds the processing state or status of the procurement process, such as 'pending', 'approved', or 'completed'.",indirect,Status & Indicators
Pur. Ord. Type (BSARK),1,EMPTY,"Indicates the type of purchasing order, such as standard, subcontracting, or stock transport.",indirect,Status & Indicators
Pymt Block (ZLSPR),1,"'A','A','A'","Indicator that specifies if a payment is blocked for a transaction, where values might include codes for payment stop, dispute, etc.",indirect,Status & Indicators
Relev.for Bill. (FKREL),1," 'I', 'B','A'","Indicates whether a delivery is relevant for billing or not, a key factor in the order-to-cash process",indirect,Status & Indicators
RequirementType (BDART),1,"'AR','AR','AR'","Type of requirement or need for the material,  could be an alphanumeric code denoting various internal processes",indirect,Status & Indicators
Reversal Reason (STGRD),1,"'1.0','1.0','1.0'","The reason code for reversing a document, could be '01' for entry error, '02' for change in circumstances, etc.",indirect,Status & Indicators
Sales Area (SALES_AREA),1,EMPTY,"Combination of sales organization, distribution channel, and division that represents an area where sales and distribution take place.",indirect,Status & Indicators
Sales block (CASSD),1,EMPTY,"A flag to indicate if sales to a customer should be blocked, can be used for credit issues or other sales stopping conditions",indirect,Status & Indicators
Sales Doc. Type (AUART),1," 'TM42','ASH', 'T42B'","The type of sales document, can include values like 'Quotation', 'Order', or 'Contract'",indirect,Status & Indicators
Status (CRSTAT),1," '7.0', '1.0','4.0'","Indicates the status of a process or transaction, with potential values like 'Active', 'Closed', or 'Cancelled'.",indirect,Status & Indicators
Task List Type (PLNTY),1,EMPTY,"Task List Type signifies the type of task list (e.g., routing for manufacturing, maintenance task list), which defines the sequence of operations",indirect,Status & Indicators
Trans. Ev. Type (VGART),1,"'WA', 'WR','WA'","Transaction Event Type denotes the type of movement or transaction (e.g., goods receipt, goods issue, transfer posting)",indirect,Status & Indicators
Type (Entered by) (USTYP),1,"'A','A','A'","User type that entered the data, which could range from an employee to an automated system.",indirect,Status & Indicators
Usage (STLAN),1,EMPTY,"Usage indicates the usage type of a Bill of Materials (BOM), which could specify whether the BOM is for production, maintenance, etc.",indirect,Status & Indicators
X-DChain status (MSTAV),1,EMPTY,Status indicating whether the production material is available for a distribution chain.,indirect,Status & Indicators
X-Plant Status (MSTAE),1,"'99.0','99.0','99.0'","Status of a material within a plant, indicating steps like production, quality review, or shipment.",indirect,Status & Indicators
Address (ADRES),1,EMPTY,"This field stores the physical address or location details, which could include street, city, zip code, and country.",direct,UIDs
From plant to plant (RESWK_TO_WERKS),1,EMPTY,"Indicates the transfer of products or materials from one plant to another, with potential values being plant identification codes.",indirect,UIDs
From plant to plant (WERKS_TO_WERKS),1,"'0001 to 0001','0001 to 0001','0001 to 0001'","Indicates the transfer from one plant to another, often represented by plant codes.",indirect,UIDs
In Plant (IMWRK),1,EMPTY,This column typically contains the identifier or code for the plant or site within the company where the material is stored or used.,indirect,UIDs
Plant (Reserv.) (WERKS_RESB),1,"'PL09', 'F051', 'US01'",Plant where the reservation of a material is made  could be a four-character alphanumeric code,indirect,UIDs
Receiving Plant (WERKS_LIKP),1,"'1.0','1.0','1.0'",The code for the plant or location where goods are to be delivered.,indirect,UIDs
Route (ROUTE),1,EMPTY,"The path that the delivery will take from the point of origin to the destination,  this might include route codes like 'R001', 'R002', etc.",indirect,UIDs
Ship-to Party (KUNNR),1,"'0000010105', '0000013043', '0000011315'",The unique code representing the destination party or address for the goods to ship to.,indirect,UIDs
Supplying Plant (RESWK),1," '0001', 'F051','M201'","The supplying plant column contains the ID representing the location where goods are dispatched, which may denote different levels of environmental efficiency.",indirect,UIDs
Release (FTRMS),1,"'2021-02-25', '2021-05-27', '2021-06-30'","The Release column is likely to store information about software or product releases, including version numbers or release dates.",direct,UIDs
Logical System (AWSYS),1,EMPTY,Identifies the specific system or client within the SAP landscape where the transaction occured.,indirect,UIDs
Pegged Reqmt (BAUGR),1," 'QM_GN_ART_SEG006','MES_FG_03_BATCH_PI', 'T-FI100'","Links a requirement to a specific source or cause, which can be critical for supply chain tracing.",indirect,UIDs
Prod. Sched. Profile (SFCPF),1,"'YYY001','YYY001','YYY001'","Contains settings that control production scheduling and hence can impact lead times and resource utilization (set of rules for production that includes runtimes, lot sizes, and other factors)",indirect,UIDs
AcctAssmtGrpMat (KTGRM),1,"'1.0','1.0','1.0'","This column typically contains the Material Account Assignment Group, which determines the G/L account assignments in sales",indirect,UIDs
Agreement (KONNR),1,EMPTY,"Holds the number of the purchasing document/agreement, such as contracts or scheduling agreements, used for procurement.",indirect,UIDs
Alternative (STLAL),1,EMPTY,Alternative identifies a specific alternative BOM when multiple alternatives are available for producing the same product,indirect,UIDs
Assignment (ZUONR),1,"'assignment','assignment','assignment'",This column holds the unique assignment number given to each transaction - helpful in tracking a transaction.,indirect,UIDs
BOM (STLNR),1,"'1.0','1.0','1.0'","BOM is the Bill of Materials number, serving as a unique identifier for a set of components or materials required to build a product",indirect,UIDs
Business Trans. (GLVOR),1,"'RFBU','RFBU','RFBU'","Describes the type of business transaction in General Ledger, such as invoice, payment, adjustment.",indirect,UIDs
CCode (FI-AP) (BUKRS_FIAP),1,"'1000.0','1000.0','1000.0'","Company Code in FI-AP which indicates the company or subsidiary within the organization, often a numeric or alphanumeric value",indirect,UIDs
CCode(FI-AR) (BUKRS_FIAR),1,"'1710.0','1710.0','1710.0'","Company Code in Finance and Accounting-Receivables, which is a standard SAP organizational unit representing a separate legal entity for which a complete self-contained set of accounts can be drawn.",indirect,UIDs
Clearing TCode (TCODE_AUGBL),1,"'F110', 'FB05', 'FB1K'","Transaction code used for clearing, indicates the SAP transaction that was used for the clearing process",indirect,UIDs
Clrng doc. (AUGBL),1,"'2000001580.0', '2000001252.0', '2000001258.0'","Clearing Document Number, indicating the unique ID of the clearing document in financial transactions",indirect,UIDs
Commitment items (COM_EXIST),1,EMPTY,"A flag indicating if commitment items are present in the transaction, with 'X' representing existence and blank for nonexistence.",indirect,UIDs
Ctrl. Recipe (CRID),1,"'1','1','1'",The control recipe ID contains information related to process instructions for product manufacturing.,indirect,UIDs
CtrlRec.Destin. (PHSEQ),1,EMPTY,"The destination sequence number in a control recipe, indicating the order of operations or destinations.",indirect,UIDs
Del. Item (POSNR),1,"'10','10','10'","The specific line item number in a delivery document,  includes identifiers such as '000010', '000020', etc.",indirect,UIDs
Delivery - Item (UVVLK),1," 'A','C', 'A'","The item number within a delivery, commonly a numerical value",indirect,UIDs
Delivery (VBELN_DEL),1," '0080042206', '0080031300','0080021136'","The unique identification number of a delivery, usually a numerical code",indirect,UIDs
Delivery Document (VBELN),1," '80026230.0','80048492.0', '80048489.0'","This field contains the unique number assigned to the delivery document, which is used for tracking and identification.",indirect,UIDs
Delivery Item (POSNR_DEL),1," '42','900020', '11'",Identifies each item within a delivery  can be a sequential number or code.,indirect,UIDs
Document Number (BELNR),1,"'5100001253', '5100002454', '5100001254'","The unique identifier for a financial document within a fiscal year, commonly a numeric string.",indirect,UIDs
FI Doc. (FI-AP) (BELNR_FIAP),1,"'1234567899.0','1234567899.0','1234567899.0'","Financial document number for FI-AP transactions, serving as a unique identifier",indirect,UIDs
FI Doc.(FI-AR) (BELNR_FIAR),1,"'1234567898.0','1234567898.0','1234567898.0'","The unique document number in the Fiscal Information system for Accounts Receivables, typically used for referencing and tracking financial transactions.",indirect,UIDs
FI Item(FI-AP) (BUZEI_FIAP),1,"'10','10','10'","Line item number in an Accounts Payable document, which is a numeric sequence",indirect,UIDs
