Sales Document (VBELN);Value in EUR (MV_MONVALUE_CONVERTED);Item (POSNR);Sales Doc. Type (AUART);Item Category (PSTYV);Relev.for Bill. (FKREL);Pur. Ord. Type (BSARK);Country/Reg. (LAND1);Company Code (BUKRS);Sales Area (SALES_AREA);Sales Org. (VKORG);Distr. Channel (VTWEG);Division (SPART);Plant (WERKS);Shipping Point (VSTEL);Location (LGORT);Profit Center (PRCTR);Sold-to Party (KUNNR);Delivery Prior. (LPRIO);AcctAssmtGrpMat (KTGRM);Material Group (MATKL);Material (MATNR);Order Quantity (KWMENG);Batch (CHARG);Procurement (BESKZ);MRP Type (DISMM);ABC Indicator (MAABC);Lot Sizing Procedure (DISLS);Safety Stock (EISBE);GR Proc. Time (WEBAZ);Net Value (NETWR);Doc. Currency (WAERK);Created on (H) (ERDAT_H);Created on (I) (ERDAT_I);Release date (CMFRE);RejectionReason (ABGRU);Delivery Date (EDATU);Mat.Avail.Date (MBDAT);Confirmed Qty (BMENG);Order Quantity (WMENG);Ovrl Deliv. Sts (LFGSA);Deliv. Conf.Sts (BESTA);OvrlDelivBlkSts (LSSTA);Delivery - Item (UVVLK);Delivery (VBELN_DEL);Delivery Item (POSNR_DEL);Delivery created on (ERDAT_DEL);Created By (ERNAM_DEL);User Type (USTYP);User group (CLASS);Transaction Code (TCODE_DEL);Automation (AUTOMATION);No. del. per SO it (NO_DEL);Year Cur.Period (LFGJA);Current Period (LFMON);Unrestricted (LABST);Quality Insp. (INSME);Trading Partner (VBUND);Order block (AUFSD);Account Group (KTOKD);Delivery block (LIFSD);Sales block (CASSD);Backlog purch. req. (BL_PURCH_REQ);Oldest PR rel.date (FRGDT_PURCH_REQ);Oldest purchase req. (BANFN_PURCH_REQ);Backlog purch. order (BL_PURCH_ORD);Oldest PO del.date (EINDT_BL_PURCH_ORD);Oldest purch. order (EBELN_BL_PURCH_ORD);Oldest PO category (BSTYP_BL_PURCH_ORD);Open purch. orders (OPEN_PURCH_ORD);Earliest PO del.date (EINDT_OPEN_PURCH_ORD);Earlistpurchorder (EBELN_OPEN_PURCH_ORD);Earliest PO category (BSTYP_OPEN_PURCH_ORD);BL plan. order 'LA' (BL_PLANNED_LA);Oldest 'LA' date (PEDTR_LA);Oldest planned order (PLNUM_LA);BL manuf. orders (BL_MANUF_ORDERS);Oldest manuf.date (DGLTS_BL_MANUF);Oldest manuf. order (AUFNR_BL_MANUF);Oldest order cat. (AUTYP_BL_MANUF);Open manuf. orders (OPEN_MANUF_ORDERS);Earliest manuf.date (DGLTS_OPEN_MANUF);Earlistmanuforder (AUFNR_OPEN_MANUF);Earlistordercat (AUTYP_OPEN_MANUF);Last insuff.stock (LAST_STOCK_ERROR_DATE)
0000047554;499.22;000020;ZRC;TAN;A;null;DE;R100;null;R100;R1;10;M001;0001;;;HANSOLO;null;;MC11451;REGRESSION_PHY_PROD_OPP;1.000;;X;ND;;;100.000;0;499.22;EUR;2019-10-23;2019-10-23;null;;2019-10-23;2019-10-23;0.000;1.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;CUST;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000047670;0;000010;ZRC;TAN;A;null;DE;R100;null;R100;R1;10;VZ01;VS01;;SAP_DUMMY;HANSOLO;null;;MC11451;REGRESSION_PHY_PROD_OPP;1.000;;F;ND;;;25.000;0;0.00;EUR;2021-11-09;2021-11-09;null;;2021-11-09;2021-11-09;0.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;CUST;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048346;0;000010;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;ALE2;VS01;;SAP_DUMMY;0000012502;null;;CNC1;MEAT_CHICKEN_CNC_01;0.650;;X;ND;;;0.000;0;0.00;EUR;2020-06-12;2020-06-12;null;;2020-06-11;2020-06-12;0.000;0.650;C;;;C;0080044135;000010;2020-06-12;MIANO;A;TESTER;;A;1;0000;00;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048346;0;000030;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;ALE2;VS01;;SAP_DUMMY;0000012502;null;;CNC1;MEAT_WHITE_FISH_CNC_01;1.000;;X;ND;;;0.000;0;0.00;EUR;2020-06-12;2020-06-12;null;;2020-06-11;2020-06-12;0.000;1.000;C;;;C;0080044135;000030;2020-06-12;MIANO;A;TESTER;;A;1;0000;00;0.000;0.000;;;DEBI;;;0;null;null;1;2022-07-28;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048346;0;000060;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;ALE2;VS01;;SAP_DUMMY;0000012502;null;;CNC2;FRUITS_BERRIES_CNC_01;0.750;;X;ND;;;0.000;0;0.00;EUR;2020-06-12;2020-06-12;null;;2020-06-11;2020-06-12;0.000;0.750;C;;;C;0080044135;000060;2020-06-12;MIANO;A;TESTER;;A;1;0000;00;0.000;0.000;;;DEBI;;;0;null;null;4;2021-11-30;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048346;0;000070;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;ALE2;VS01;;SAP_DUMMY;0000012502;null;;CNC1;MEAT_CHICKEN_CNC_01;0.100;;X;ND;;;0.000;0;0.00;EUR;2020-06-12;2020-06-12;null;02;2020-06-11;2020-06-11;0.000;0.100;C;;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048347;100;000010;BV;BVN;B;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;CA-US;null;;00201;WATCH_SW;1.000;;X;ND;;;1.000;0;100.00;EUR;2020-07-27;2020-07-27;null;;2020-07-27;2020-07-27;1.000;1.000;C;;;C;0080039618;000005;2020-07-27;BHATTACHARJS;A;TESTER;VA01;A;1;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048439;40;000010;TA;TAN;A;null;DE;0001;null;0001;01;01;SPP1;0001;0001;SAP-DUMMY;IBP_SPP_01;null;;01;IBP_SPP_TEST_2;4.000;;F;X0;;EX;0.000;0;40.00;EUR;2020-01-15;2020-01-15;null;;2020-01-15;2020-01-15;0.000;4.000;A;C;;C;;000000;null;null;null;null;null;null;0;2020;04;400.000;0.000;;;KUNA;;;0;null;null;1;2020-01-17;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048440;220;000010;TA;TAQ;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;ADAM_COMP;null;;01;MA_FERT_0001;10.000;;F;ND;;;0.000;0;220.00;EUR;2020-02-25;2020-02-25;null;;2020-02-25;2020-02-25;10.000;10.000;C;;;C;0080024189;000010;2020-02-25;KEMMER;A;TESTER;VL01N;M;1;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048441;5000;000020;TA;TAN;A;null;DE;AG01;null;AG01;01;01;AG01;AG01;AFS;;1009000000;null;;000000001;AG01-FERT05;5.000;;;;;;0.000;0;5000.00;EUR;2020-04-15;2020-04-15;null;;2020-04-15;2020-04-16;0.000;5.000;A;A;;C;;000000;null;null;null;null;null;null;0;2020;05;310.000;0.000;;;ZPAN;;;0;null;null;16;2019-04-06;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048441;2000;000040;TA;TAN;A;null;DE;AG01;null;AG01;01;01;AG01;AG01;AFS;;1009000000;null;;000000001;AG01-FERT06;4.000;;;;;;0.000;0;2000.00;EUR;2020-04-15;2020-04-15;null;;2020-04-15;2020-04-16;0.000;4.000;A;A;;C;;000000;null;null;null;null;null;null;0;2020;05;352.000;0.000;;;ZPAN;;;0;null;null;7;2019-05-07;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048442;0;000010;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;ALE1;VS01;;SAP_DUMMY;SV01;null;;000000001;SV_POS_TEST1004;5.000;;X;ND;;EX;0.000;0;0.00;EUR;2020-04-16;2020-04-16;null;;2020-04-16;2020-04-16;5.000;5.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048442;0;000020;CNC;NCCU;A;null;DE;R100;null;R100;R1;10;ALE1;VS01;;SAP_DUMMY;SV01;null;;000000001;SV_TEST_01;6.000;;X;ND;;EX;0.000;0;0.00;EUR;2020-04-16;2020-04-16;null;;2020-04-16;2020-04-16;6.000;6.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048444;10000;000020;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;0000010105;null;;01;HST_F1;100.000;;E;PD;;EX;0.000;0;10000.00;EUR;2020-05-29;2020-05-29;null;;2020-05-28;2020-05-28;0.000;100.000;A;A;;A;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;3;2020-05-20;null;null;0;null;null;null;null
0000048444;40000;000040;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;0000010105;null;;01;HST1_R1;200.000;;F;PD;;MB;0.000;0;40000.00;EUR;2020-05-29;2020-05-29;null;;2020-05-28;2020-05-28;0.000;200.000;A;A;;A;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;3;2020-05-18;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048445;0;000010;TM42;TAN;A;null;DE;0001;null;TM42;01;01;TM42;TM42;;SAP-DUMMY;T42_BP_HAM;null;;01;T42_PROD-S01-BM;80.000;;;;;;0.000;0;0.00;EUR;2020-06-17;2020-06-17;null;;2020-07-01;2020-06-24;80.000;80.000;C;;;C;0080044245;000020;2020-06-17;C5267265;A;TESTER;;A;1;0000;00;0.000;0.000;;;KUNA;;;0;null;null;56;2020-11-22;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048446;900;000020;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;0000010105;null;;01;HST_F1;3.000;;E;PD;;EX;0.000;0;900.00;EUR;2020-07-06;2020-07-06;null;;2020-07-06;2020-07-06;0.000;3.000;B;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;3;2020-05-20;null;null;0;null;null;null;null
0000048446;2000;000040;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;0000010105;null;;01;HST1_R1;4.000;;F;PD;;MB;0.000;0;2000.00;EUR;2020-07-06;2020-07-06;null;;2020-07-06;2020-07-06;0.000;4.000;B;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;DEBI;;;0;null;null;3;2020-05-18;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048751;250;000001;T33A;TAN;A;null;DE;0001;null;TM33;01;01;TM33;TM33;;SAP-DUMMY;T33_CU0001;null;;01;T33_BRSODA_250C;50.000;;;;;;0.000;0;250.00;EUR;2020-09-03;2020-09-03;null;;2020-09-03;2020-09-03;0.000;50.000;C;;;C;0080045953;000010;2020-09-03;TMINTEGRATOR;A;TESTER;;A;1;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048752;440.264475;000010;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;;SAP_DUMMY;ASH_CUST;null;;BS_MATGR;ASH_TEST_GA_GEN_A001;15.000;;X;PD;;EX;0.000;0;39753.00;INR;2020-09-10;2020-09-10;null;;2020-09-10;null;0.000;15.000;A;A;;A;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;4;2020-10-15;null;5;2020-10-12;null;null;0;null;null;null;9;2021-11-04;null;0;null;null;null;0;null;null;null;null
0000048752;0;850001;TA;FVAS;A;null;DE;R100;null;R100;R1;10;F051;VS01;;SAP_DUMMY;ASH_CUST;null;;BS_MATGR;SNL_VAS;30.000;;X;PD;;EX;0.000;0;0.00;INR;2020-09-10;2020-09-10;null;;2020-09-10;2020-09-10;0.000;30.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;9;2020-10-09;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048753;200;000020;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;LBN_CUS_CL;null;;000000001;DH_TM_MAT1;1.000;;;;;;0.000;0;200.00;EUR;2020-09-15;2020-09-15;null;;2020-09-24;2020-09-22;1.000;1.000;C;;;C;0080046126;000020;2020-09-15;HUEV;A;TESTER;VL01N;M;1;0000;00;0.000;0.000;;;KUNA;;;0;null;null;69;2018-01-05;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048753;300;000040;ZGTT;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;LBN_CUS_CL;null;;000000001;DH_TM_MAT2;2.000;;;;;;0.000;0;300.00;EUR;2020-09-15;2020-09-15;null;;2020-09-24;2020-09-22;2.000;2.000;C;;;C;0080046127;000040;2020-09-15;HUEV;A;TESTER;VL01N;M;2;0000;00;0.000;0.000;;;KUNA;;;0;null;null;7;2018-02-19;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048754;50;000010;TM44;TAN;A;null;DE;0001;null;TM42;01;60;TM42;TM42;;SAP-DUMMY;T42_BP_DUE;null;;01;T42_PROD-S01;10.000;;X;ND;;;0.000;0;50.00;EUR;2020-09-25;2020-09-25;null;;2020-10-10;2020-10-02;10.000;10.000;C;;;C;0080046264;000010;2020-09-25;DETTWEILER;A;TESTER;VL01;M;1;0000;00;0.000;0.000;;;KUNA;;;0;null;null;1146;2019-09-23;null;null;4;2023-03-15;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048930;1;000010;TA;TAN;A;null;DE;0001;null;0001;01;01;EW01;0001;;SAP-DUMMY;CUST001;null;;01;PROD-S01;1.000;;X;ND;;;0.000;0;1.00;EUR;2019-05-07;2019-05-07;null;;2019-05-07;2019-05-07;1.000;1.000;C;;;C;0080041012;000010;2019-05-07;GIERLICH;A;TESTER;VL01N;M;1;0000;00;0.000;0.000;;;KUNA;;;1;2019-10-29;null;748;2016-03-03;null;null;0;null;null;null;0;null;null;1;2022-04-25;null;null;0;null;null;null;null
0000048931;0;000010;TM42;TAN;A;null;DE;0001;null;TM42;01;01;TM42;TM42;AFS;SAP-DUMMY;T42_BP_HAM;null;;01;T42_PROD-S01;1.000;;X;ND;;;0.000;0;0.00;EUR;2019-08-12;2019-08-12;null;;2019-08-14;2019-08-12;0.000;1.000;C;;;C;0080041139;000010;2019-08-12;KINDERM;A;TESTER;;A;1;0000;00;0.000;0.000;;;KUNA;;;0;null;null;1146;2019-09-23;null;null;4;2023-03-15;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048933;11;000010;TA;TAN;A;null;DE;R100;null;R100;R1;10;F051;VS01;;;PCS-V131;null;;MG_R;ART_SEA_CO_RD3;10.000;;X;PD;;EX;0.000;0;11.00;EUR;2019-08-30;2019-08-30;null;;2019-08-30;2019-08-30;10.000;10.000;C;;;C;0080021136;000010;2019-08-30;KUMARIRAJ;A;TESTER;VL01N;M;1;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048935;11.76;000010;TA;TAN;A;null;DE;F001;null;S001;S1;S1;P001;S001;;;WDF28-1;null;;04;WDF28-1;1.000;;X;ND;;EX;0.000;1;11.76;EUR;2019-09-02;2019-09-02;null;02;2019-09-04;2019-09-03;1.000;1.000;C;;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;138;2021-12-15;null;505;2021-07-02;null;null;16;2023-03-13;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048935;11.76;000020;TA;TAN;A;null;DE;F001;null;S001;S1;S1;P001;S001;;;WDF28-1;null;;04;WDF28-1;1.000;;X;ND;;EX;0.000;1;11.76;EUR;2019-09-02;2019-09-02;null;02;2019-09-03;2019-09-02;1.000;1.000;C;;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;138;2021-12-15;null;505;2021-07-02;null;null;16;2023-03-13;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048935;11.76;000030;TA;TAN;A;null;DE;F001;null;S001;S1;S1;P001;S001;;;WDF28-1;null;;04;WDF28-1;1.000;;X;ND;;EX;0.000;1;11.76;EUR;2019-09-02;2019-09-02;null;;2019-09-04;2019-09-03;1.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;138;2021-12-15;null;505;2021-07-02;null;null;16;2023-03-13;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048935;11.76;000040;TA;TAN;A;null;DE;F001;null;S001;S1;S1;P001;S001;;;WDF28-1;null;;04;WDF28-1;1.000;;X;ND;;EX;0.000;1;11.76;EUR;2019-09-02;2019-09-02;null;;2019-09-03;2019-09-02;1.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;138;2021-12-15;null;505;2021-07-02;null;null;16;2023-03-13;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048935;11.76;000050;TA;TAN;A;null;DE;F001;null;S001;S1;S1;P001;S001;;;WDF28-1;null;;04;WDF28-1;1.000;;X;ND;;EX;0.000;1;11.76;EUR;2019-09-02;2019-09-02;null;;2019-09-04;2019-09-03;1.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;138;2021-12-15;null;505;2021-07-02;null;null;16;2023-03-13;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048935;11.76;000060;TA;TAN;A;null;DE;F001;null;S001;S1;S1;P001;S001;;;WDF28-1;null;;04;WDF28-1;1.000;;X;ND;;EX;0.000;1;11.76;EUR;2019-09-02;2019-09-02;null;;2019-09-03;2019-09-02;1.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;138;2021-12-15;null;505;2021-07-02;null;null;16;2023-03-13;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048935;11.76;000070;TA;TAN;A;null;DE;F001;null;S001;S1;S1;P001;S001;;;WDF28-1;null;;04;WDF28-1;1.000;;X;ND;;EX;0.000;1;11.76;EUR;2019-09-02;2019-09-02;null;;2019-09-04;2019-09-03;1.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;138;2021-12-15;null;505;2021-07-02;null;null;16;2023-03-13;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000048935;11.76;000080;TA;TAN;A;null;DE;F001;null;S001;S1;S1;P001;S001;;;WDF28-1;null;;04;WDF28-1;1.000;;X;ND;;EX;0.000;1;11.76;EUR;2019-09-02;2019-09-02;null;;2019-09-03;2019-09-02;1.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;138;2021-12-15;null;505;2021-07-02;null;null;16;2023-03-13;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049048;8.4;000010;ZRC;TAN;A;null;DE;R100;null;R100;R1;10;VZ01;VS01;;SAP_DUMMY;HANSOLO;null;;MC11451;REGRESSION_PHY_PROD_OPP;1.000;;F;ND;;;25.000;0;8.40;EUR;2021-06-11;2021-06-11;null;;2021-06-11;2021-06-14;0.000;1.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;CUST;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049048;8.41;000020;ZRC;TAN;A;null;DE;R100;null;R100;R1;10;VZ01;VS01;;SAP_DUMMY;HANSOLO;null;;MC11451;DKOM_NIKE1;1.000;;F;ND;;;25.000;0;8.41;EUR;2021-06-11;2021-06-11;null;;2021-06-11;2021-06-14;0.000;1.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;CUST;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049049;0;000010;TA;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;;ATP_CUST02;null;;000000001;RT_FERT_PC1;1000000000.000;;X;PD;;EX;0.000;0;0.00;EUR;2021-06-14;2021-06-14;null;;2021-06-19;2021-06-19;0.000;1000000000.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049050;0;000010;ZRC;TAN;A;null;DE;0001;null;0001;01;01;VZ01;VS01;;SAP_DUMMY;0000020287;null;;MC11451;REGRESSION_PHY_PROD_OPP;2.000;;F;ND;;;25.000;0;0.00;USD;2021-07-20;2021-07-20;null;;2021-07-20;2021-07-20;0.000;2.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;CPD;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049051;0;000010;ZRC;TAN;B;null;DE;R100;null;R100;R1;10;VZ01;VS01;;SAP_DUMMY;HANSOLO;null;;MC11451;REGRESSION_PHY_PROD_OPP;1.000;;F;ND;;;25.000;0;0.00;EUR;2021-07-29;2021-07-29;null;;2021-07-29;2021-07-29;0.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;CUST;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049051;0;000020;ZRC;TAN;B;null;DE;R100;null;R100;R1;10;VZ01;VS01;;SAP_DUMMY;HANSOLO;null;;MC11451;DKOM_NIKE22;1.000;;F;ND;;;25.000;0;0.00;EUR;2021-07-29;2021-07-29;null;;2021-07-29;2021-07-29;0.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;CUST;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049053;0;000010;TA;TAN;A;;DE;R100;null;R100;R1;10;F051;VS01;;SAP_DUMMY;PCS-C302;null;;FERT;Z2023_MAT9;11.000;;X;PD;;EX;0.000;0;0.00;EUR;2021-09-21;2021-09-21;null;;2021-09-27;2022-03-22;0.000;11.000;A;A;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;1;2022-04-07;null;0;null;null;null;0;null;null;null;null
0000049053;0;000080;TA;TAN;A;;DE;R100;null;R100;R1;10;REF1;0001;;SAP_DUMMY;PCS-C302;null;;MANTEST01;MAN_SA_SET_001_SINGLE_ART_001;10.000;;X;ND;;;0.000;0;0.00;EUR;2021-09-21;2021-12-22;null;;2018-09-27;2022-03-22;0.000;10.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049053;0;000090;TA;TAN;A;;DE;R100;null;R100;R1;10;REF1;0001;;SAP_DUMMY;PCS-C302;null;;MANTEST01;MAN_SA_SET_001_SINGLE_ART_001;11.000;;X;ND;;;0.000;0;0.00;EUR;2021-09-21;2022-01-25;null;;2018-09-27;2022-03-22;0.000;11.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049053;0;000100;TA;TAN;A;;DE;R100;null;R100;R1;10;REF1;0001;;SAP_DUMMY;PCS-C302;null;;MANTEST01;MAN_SINGLE_ART_070;22.000;;X;ND;;;0.000;0;0.00;EUR;2021-09-21;2022-01-25;null;;2018-09-27;2022-03-22;0.000;22.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049532;200;000010;MTOR;TAN;A;null;DE;0001;null;0001;01;01;0001;0001;;SAP-DUMMY;DH_TM_CUS1;null;;000000001;DH_TM_MAT1;1.000;;;;;;0.000;0;200.00;EUR;2019-03-25;2019-03-25;null;;2019-03-25;2019-03-25;1.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;69;2018-01-05;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049650;0;000010;TM42;TAN;A;null;DE;0001;null;TM42;01;01;TM43;TM43;AFS;SAP-DUMMY;T42_BP_HAM;null;;01;T42_PROD-S02;1.000;;X;ND;;;0.000;0;0.00;EUR;2019-08-13;2019-08-13;null;;2019-08-15;2019-08-13;0.000;1.000;C;;;C;0080041153;000010;2019-08-13;ERDMANN;A;TESTER;;A;1;0000;00;0.000;0.000;;;KUNA;;;0;null;null;110;2020-04-08;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049653;11.76;000010;TA;TAN;A;null;DE;F001;null;S001;S1;S1;P001;S001;;;WDF28-1;null;;04;WDF28-1;1.000;;X;ND;;EX;0.000;1;11.76;EUR;2019-08-29;2019-08-29;null;;2019-08-31;2019-08-30;1.000;1.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;138;2021-12-15;null;505;2021-07-02;null;null;16;2023-03-13;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049654;461.375;000010;ZTOR;TAN;A;null;US;SIT1;null;SIT1;Z1;Z1;TM62;TM64;;;TM6_SHIP2;null;;002;TM6_FERT_1;5.000;;X;ND;;;0.000;0;500.00;USD;2019-08-29;2019-08-29;null;;2019-09-15;2019-09-13;5.000;5.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
0000049733;65;000010;TA;TAN;A;null;DE;0001;null;0001;01;01;DB02;0001;;SAP-DUMMY;DB_CUST_01;null;;02;DB_IDV_R4D_REFRSH;65.000;;F;PD;;EX;0.000;0;65.00;EUR;2019-04-01;2019-04-01;null;;2019-04-01;2019-12-05;0.000;65.000;A;C;;C;;000000;null;null;null;null;null;null;0;0000;00;0.000;0.000;;;KUNA;;;0;null;null;0;null;null;null;0;null;null;null;0;null;null;0;null;null;null;0;null;null;null;null
